date,tempC,humidity,precipMM,windspeedKmph,UVIndex
2020-01-01,13.0,67.0,0.0,7.0,4.0
2020-01-02,14.0,61.0,0.0,7.0,4.0
2020-01-03,14.0,55.0,0.0,6.0,4.0
2020-01-04,13.0,79.0,3.4,8.0,3.0
2020-01-05,13.0,77.0,0.2,7.0,3.0
2020-01-06,14.0,67.0,0.1,6.0,4.0
2020-01-07,14.0,76.0,0.2,10.0,3.0
2020-01-08,13.0,84.0,5.5,13.0,3.0
2020-01-09,13.0,80.0,5.7,7.0,3.0
2020-01-10,14.0,70.0,0.0,8.0,4.0
2020-01-11,12.0,77.0,8.5,5.0,2.0
2020-01-12,12.0,82.0,18.6,6.0,2.0
2020-01-13,13.0,82.0,7.3,8.0,3.0
2020-01-14,14.0,70.0,0.0,9.0,4.0
2020-01-15,15.0,53.0,0.0,8.0,3.0
2020-01-16,15.0,55.0,0.0,7.0,3.0
2020-01-17,15.0,61.0,0.0,9.0,4.0
2020-01-18,15.0,68.0,0.2,8.0,3.0
2020-01-19,15.0,69.0,3.0,10.0,3.0
2020-01-20,15.0,68.0,0.0,11.0,3.0
2020-01-21,19.0,53.0,0.0,16.0,4.0
2020-01-22,20.0,56.0,0.0,12.0,5.0
2020-01-23,16.0,67.0,0.0,8.0,4.0
2020-01-24,17.0,57.0,0.0,9.0,4.0
2020-01-25,19.0,51.0,0.0,11.0,3.0
2020-01-26,15.0,71.0,3.1,11.0,3.0
2020-01-27,15.0,75.0,1.3,10.0,3.0
2020-01-28,16.0,64.0,0.0,10.0,4.0
2020-01-29,17.0,64.0,0.0,8.0,4.0
2020-01-30,17.0,67.0,0.0,6.0,4.0
2020-01-31,17.0,66.0,0.0,8.0,3.0
2020-02-01,17.0,69.0,0.0,8.0,3.0
2020-02-02,18.0,76.0,0.0,6.0,3.0
2020-02-03,19.0,69.0,0.0,6.0,4.0
2020-02-04,20.0,61.0,0.5,10.0,4.0
2020-02-05,13.0,73.0,0.0,15.0,3.0
2020-02-06,15.0,57.0,0.0,10.0,4.0
2020-02-07,17.0,49.0,0.0,11.0,4.0
2020-02-08,16.0,65.0,0.0,7.0,4.0
2020-02-09,16.0,80.0,0.0,6.0,4.0
2020-02-10,18.0,70.0,0.0,7.0,4.0
